date,AAPL,GOOG,META,JPM,MA,PFE,WMT,SBUX,GE,XOM,T,TLT,GLD,SPY
2019-01-08,35.996524810791016,53.68216323852539,142.10214233398438,85.08732604980469,186.26454162597656,32.073116302490234,28.9204158782959,56.12120819091797,40.03129577636719,53.94211959838867,14.896015167236328,102.96682739257812,121.52999877929688,232.93296813964844
2019-01-09,36.60781097412109,53.60136413574219,143.79702758789062,84.94348907470703,189.64535522460932,32.00665664672852,28.826248168945312,56.35056686401367,39.75069808959961,54.22664642333984,14.650338172912598,102.8057632446289,122.30999755859376,234.0215759277344
2019-01-10,36.72481155395508,53.38539505004883,143.76712036132812,84.9350357055664,190.78842163085932,31.245994567871097,28.84751319885254,56.62403106689453,41.808380126953125,53.94960784912109,14.796356201171877,102.14434051513672,121.58999633789062,234.8471527099609
2019-01-11,36.36424255371094,52.73000717163086,143.3683319091797,84.52892303466797,189.7712249755859,31.66694450378418,28.811059951782227,56.21825408935547,41.808380126953125,53.7025146484375,15.02511215209961,102.54290771484376,121.8000030517578,234.93783569335935
2019-01-14,35.817440032958984,52.106536865234375,144.9535675048828,85.40036010742188,189.3159637451172,31.290307998657227,28.84447288513184,55.90068054199219,41.621315002441406,53.6351318359375,14.903438568115234,102.1613311767578,122.08999633789062,233.5044860839844
2019-01-15,36.55049896240234,53.72555541992188,148.50286865234375,86.02640533447266,190.37185668945312,31.55616950988769,29.239398956298828,56.52699279785156,40.8262939453125,53.665077209472656,14.893696784973145,101.78822326660156,121.87999725341795,236.18060302734372
2019-01-16,36.99702835083008,53.91609191894531,147.0971221923828,86.72019958496094,191.582763671875,31.098289489746097,29.269777297973636,56.2535400390625,41.99544143676758,53.6426010131836,14.874231338500977,101.88996124267578,122.2699966430664,236.752197265625
2019-01-17,37.216705322265625,54.36149597167969,147.85482788085938,87.07551574707031,193.07456970214844,31.364164352416992,29.38825035095215,56.70341873168945,42.74369812011719,54.00951385498047,14.913166999816896,101.9154281616211,122.11000061035156,238.5483245849609
2019-01-18,37.44593048095703,54.77847290039063,149.58958435058594,88.4884262084961,195.680419921875,31.40847587585449,29.689001083374023,57.07390975952149,42.36956405639648,54.65345764160156,15.068915367126465,101.38118743896484,121.0199966430664,241.72341918945312
2019-01-22,36.60542678833008,53.39487457275391,147.1270294189453,87.09246063232422,193.2198486328125,31.21646308898925,29.61608505249023,57.682594299316406,40.49893951416016,53.82979965209961,14.883963584899902,102.0680160522461,121.4499969482422,238.4575958251953
2019-01-23,36.75346374511719,53.64675521850586,143.86683654785156,86.87248229980469,192.1446228027344,31.13521957397461,29.986705780029297,58.59999084472656,40.8262939453125,53.38802719116211,15.034845352172852,102.02565002441406,121.27999877929688,238.95654296875
2019-01-24,36.46215438842773,53.56345748901367,145.39224243164062,86.9232406616211,193.53953552246097,30.24163055419922,29.8803825378418,57.10919952392578,41.06012725830078,53.46290588378906,14.893696784973145,102.69549560546876,121.08999633789062,239.08351135253903
2019-01-25,37.670387268066406,54.415863037109375,148.56268310546875,87.47318267822266,196.5910491943359,30.01270294189453,29.449010848999023,59.18220138549805,42.83721923828125,53.7025146484375,14.92290210723877,102.20372009277344,122.86000061035156,241.10655212402344
2019-01-28,37.3217658996582,53.3729248046875,147.02731323242188,87.88774108886719,193.89797973632807,29.192960739135746,29.485464096069336,59.01460266113281,41.76161193847656,53.34308624267578,14.927770614624023,102.10194396972656,123.29000091552734,239.27410888671875
2019-01-29,36.93494415283203,52.90108108520508,143.75717163085938,88.1330795288086,193.0067901611328,30.108701705932617,29.379138946533203,59.138092041015625,41.621315002441406,53.54527282714844,14.942367553710938,102.61919403076172,123.9800033569336,238.95654296875
2019-01-30,39.45887756347656,54.31959915161133,149.96847534179688,88.3361587524414,197.6372528076172,30.706886291503903,28.79890823364257,60.11725616455078,42.55663299560547,54.12931823730469,14.295031547546388,102.54290771484376,124.69000244140624,242.73941040039065
2019-01-31,39.74302673339844,55.68175506591797,166.1896209716797,87.56623077392578,204.5247802734375,31.623178482055664,29.11180877685547,60.10844039916992,47.5137825012207,54.87060546875,14.630867004394531,103.4247589111328,124.75,244.87132263183597
2019-02-01,39.76213073730469,55.40144348144531,165.21258544921875,87.88774108886719,207.0821990966797,31.943511962890625,28.51335334777832,60.081974029541016,47.65406036376953,56.84738159179688,14.601661682128906,102.80007934570312,124.5,244.98922729492188
2019-02-04,40.89156723022461,56.501243591308594,168.74192810058594,88.2007827758789,208.1865692138672,31.61573028564453,28.789794921875,59.614444732666016,47.74759292602539,56.02373123168945,14.411843299865724,102.34117126464844,123.95999908447266,246.7128448486328
2019-02-05,41.59120941162109,57.15913009643555,170.6461944580078,87.81159973144531,209.1068115234375,31.36989021301269,29.041934967041016,61.16699981689453,49.71174240112305,56.60028076171875,14.421579360961914,102.80859375,124.27999877929688,247.7469482421875
2019-02-06,41.60554122924805,55.62489700317383,169.9782257080078,87.76929473876953,208.5643768310547,31.53378677368164,29.05409049987793,61.05173110961914,48.963497161865234,56.35319137573242,14.387508392333984,102.85958099365234,123.44000244140624,247.42041015625
2019-02-07,40.81755447387695,54.80091857910156,165.88055419921875,86.61866760253906,207.2759246826172,31.06446647644043,29.385217666625977,61.308876037597656,47.04611206054688,55.918907165527344,14.33397102355957,103.53948974609376,123.73999786376952,245.06179809570312
2019-02-08,40.865516662597656,54.61886215209961,166.82769775390625,85.7557144165039,209.80426025390625,31.45929527282715,29.035860061645508,61.849796295166016,45.876983642578125,56.00974655151367,14.382638931274414,103.98143768310548,124.20999908447266,245.3611297607422
2019-02-11,40.63050842285156,54.61637115478515,165.29232788085938,85.34959411621094,210.30799865722656,31.04957389831543,29.22420692443848,62.062599182128906,46.90581512451172,56.1005973815918,14.460514068603516,103.57347869873048,123.5999984741211,245.4972381591797
2019-02-12,40.980613708496094,55.9311408996582,164.5445556640625,86.80480194091797,212.0614013671875,31.19111442565918,29.45812225341797,61.849796295166016,46.671993255615234,57.0848274230957,14.509188652038574,103.31002807617188,123.86000061035156,248.6541748046875
2019-02-13,40.81036376953125,55.87078857421875,163.57748413085938,87.21936798095703,213.6403961181641,31.06446647644043,29.752796173095703,62.52370071411133,48.49584197998047,57.72835159301758,14.523788452148438,102.91905975341795,123.37000274658205,249.4615173339844
2019-02-14,40.95903396606445,55.94610595703125,163.45785522460938,86.65250396728516,212.9332427978516,31.265600204467773,29.928993225097656,62.81631851196289,46.95257568359375,57.743499755859375,14.499456405639648,103.50547790527344,124.05999755859376,248.9081878662109
2019-02-15,40.86791610717773,55.546085357666016,162.01219177246094,89.3006591796875,215.1612548828125,31.5859375,30.375560760498047,62.70105743408203,47.18640899658203,58.83370590209961,14.830425262451172,103.66699981689452,124.8000030517578,251.62060546875
2019-02-19,40.99021530151367,55.79098892211914,161.80282592773438,88.98760986328125,213.6888427734375,31.73491859436035,31.04692649841309,62.24880599975586,47.37346649169922,59.2274055480957,14.908299446105955,103.930419921875,126.6999969482422,252.0560302734375
2019-02-20,41.25400161743164,55.55356979370117,162.07200622558594,89.41911315917969,214.19259643554688,31.43694305419922,30.34214782714844,62.41728591918945,47.233177185058594,59.45451736450195,15.01538372039795,103.63298034667967,126.4800033569336,252.5640563964844
2019-02-21,41.02138137817383,54.71413040161133,159.55958557128906,89.23296356201172,212.4488525390625,31.39223861694336,30.193283081054688,62.69219207763672,46.90581512451172,58.916988372802734,15.005644798278809,102.70659637451172,125.0500030517578,251.66587829589844
2019-02-22,41.47941207885742,55.38249206542969,161.40403747558594,88.8353271484375,216.33343505859372,32.00311279296875,30.24189186096191,63.224239349365234,47.56053161621094,59.3712158203125,15.161396980285645,103.31851959228516,125.5,253.22630310058597
2019-02-25,41.78157424926758,55.334110260009766,164.12583923339844,89.7659683227539,216.33343505859372,32.09249496459961,30.11126136779785,63.00255584716797,50.60028076171875,59.43182373046875,15.151659965515137,103.01256561279295,125.37000274658205,253.5709686279297
2019-02-26,41.80555725097656,55.61990737915039,163.63729858398438,89.08068084716797,216.9921875,32.04780960083008,29.98063468933105,63.08234786987305,51.84611892700195,59.55294799804688,15.195470809936523,103.52247619628906,125.58000183105467,253.3895568847656
2019-02-27,41.93503952026367,55.66579818725586,162.32127380371094,88.97068786621094,217.5443572998047,31.98076057434082,29.80443954467773,62.20449066162109,52.91612243652344,60.16619491577149,15.117593765258787,102.34967803955078,124.69000244140624,253.2807464599609
2019-02-28,41.52259063720703,55.85881805419922,160.96534729003906,88.29383087158203,217.7380828857422,32.29362869262695,30.071765899658203,62.30202865600586,50.5329475402832,59.83307266235352,15.146795272827148,102.00125122070312,123.98999786376952,252.80894470214844
2019-03-01,41.95903015136719,56.90974044799805,161.79286193847656,88.35307312011719,220.1405029296875,32.30108642578125,29.749757766723636,62.8251953125,49.949317932128906,60.56745147705078,15.000777244567873,101.05843353271484,121.87999725341795,254.38743591308597
2019-03-04,42.17006301879883,57.24940490722656,166.86756896972656,88.1500015258789,219.21051025390625,32.085052490234375,29.72546005249023,62.91386413574219,50.48432159423828,60.8021240234375,14.59193515777588,101.8504867553711,121.55999755859376,253.46214294433597
2019-03-05,42.09331893920898,57.95916748046875,170.7458953857422,88.08233642578125,219.1427154541016,31.95095443725586,29.874305725097656,63.47251129150391,48.10114669799805,60.71131134033203,14.577329635620115,102.06340026855467,121.72000122070312,253.1173858642578
2019-03-06,41.85112380981445,57.75117492675781,171.99215698242188,87.75238800048828,217.4474334716797,31.183664321899418,29.85000801086425,63.197635650634766,44.30752944946289,60.02232360839844,14.509188652038574,102.43815612792967,121.61000061035156,251.5843048095703
